ID,Gender,Has a car,Has a property,Children count,Income,Employment status,Education level,Marital status,Dwelling,Age,Employment length,Has a mobile phone,Has a work phone,Has a phone,Has an email,Job title,Family member count,Risk
5116567,F,N,Y,1,180000,Working,Secondary / secondary special,Married,House / apartment,29,10,1,1,1,0,Sales staff,3,0
5025876,F,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,32,0,1,0,0,0,Sales staff,3,0
5041825,F,Y,N,0,112500,Working,Secondary / secondary special,Married,Municipal apartment,47,2,1,0,1,0,Sales staff,2,0
5010208,F,N,Y,0,135000,Commercial associate,Higher education,Married,House / apartment,37,10,1,0,0,1,Core staff,2,0
5096373,F,Y,N,0,207000,Working,Higher education,Married,House / apartment,40,10,1,1,1,0,HR staff,2,0
5054536,F,N,Y,0,189000,Working,Secondary / secondary special,Married,House / apartment,43,5,1,1,0,0,Accountants,2,0
5111157,F,Y,Y,1,81000,Working,Higher education,Married,House / apartment,29,3,1,1,1,0,Core staff,3,0
5048458,F,Y,Y,1,126000,Working,Higher education,Married,House / apartment,25,0,1,0,0,0,,3,0
5092275,F,N,Y,0,360000,Working,Secondary / secondary special,Married,House / apartment,42,15,1,1,1,0,Laborers,2,0
5090131,F,Y,Y,0,225000,Commercial associate,Higher education,Civil marriage,House / apartment,29,0,1,1,1,0,Sales staff,2,0
5065444,F,Y,N,2,270000,Working,Secondary / secondary special,Married,With parents,36,6,1,0,0,0,Managers,4,0
5087881,F,N,N,0,234000,State servant,Higher education,Civil marriage,House / apartment,60,14,1,0,0,1,Core staff,2,0
5045654,F,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,40,6,1,0,1,0,,2,0
5112850,F,Y,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,33,4,1,0,0,1,Managers,2,0
5058521,F,N,Y,0,405000,Commercial associate,Secondary / secondary special,Married,With parents,39,9,1,1,1,0,Laborers,2,0
5062211,F,N,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,47,3,1,1,1,0,,2,0
5021462,F,Y,N,1,225000,Working,Higher education,Civil marriage,House / apartment,31,2,1,0,0,0,Core staff,3,0
5132564,F,N,Y,1,112500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,40,3,1,0,1,0,Sales staff,3,0
5053466,M,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,50,5,1,1,1,0,Low-skill Laborers,2,0
5089674,F,Y,N,2,90000,Working,Secondary / secondary special,Married,House / apartment,35,10,1,1,1,0,High skill tech staff,4,0
5095637,F,N,N,0,128542,Commercial associate,Higher education,Single / not married,Rented apartment,25,1,1,1,0,1,Sales staff,1,0
5024635,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,54,3,1,0,0,0,,2,0
5095562,F,N,N,1,540000,Working,Secondary / secondary special,Separated,House / apartment,44,5,1,1,0,0,Managers,2,0
5067699,M,Y,Y,0,450000,Working,Higher education,Married,House / apartment,52,12,1,0,1,0,Managers,2,0
5148828,F,N,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,39,8,1,1,1,0,Sales staff,3,0
5139950,F,Y,Y,0,121500,State servant,Secondary / secondary special,Married,House / apartment,54,8,1,1,0,0,,2,0
5113403,M,Y,Y,0,450000,Commercial associate,Higher education,Single / not married,House / apartment,29,1,1,0,0,1,Sales staff,1,0
5048554,M,Y,Y,1,405000,Working,Higher education,Married,House / apartment,28,5,1,0,0,0,High skill tech staff,3,0
5105011,M,Y,Y,1,216000,Working,Secondary / secondary special,Married,Rented apartment,46,3,1,0,0,0,Laborers,3,0
5100222,F,N,Y,0,157500,Commercial associate,Higher education,Married,House / apartment,48,18,1,0,0,0,,2,0
5053922,M,N,N,1,202500,Working,Lower secondary,Civil marriage,House / apartment,39,2,1,1,1,0,Drivers,3,0
5041212,F,N,Y,0,180000,Working,Higher education,Widow,House / apartment,63,5,1,0,0,0,Secretaries,1,0
5135450,F,N,Y,1,225000,Working,Secondary / secondary special,Married,With parents,27,0,1,0,0,0,Cleaning staff,3,0
5136908,M,N,N,1,360000,Working,Secondary / secondary special,Married,House / apartment,41,7,1,1,0,1,Managers,3,0
5091529,F,N,Y,1,211500,Working,Higher education,Married,House / apartment,34,6,1,0,0,0,Core staff,3,0
5125917,F,N,N,0,157500,Working,Higher education,Married,House / apartment,31,8,1,0,0,0,Sales staff,2,0
5053891,F,N,Y,0,90000,State servant,Secondary / secondary special,Separated,House / apartment,39,0,1,0,0,0,,1,0
5112601,F,N,Y,0,103500,Working,Secondary / secondary special,Married,House / apartment,61,35,1,1,1,0,Managers,2,0
5021309,M,N,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,46,0,1,0,0,0,Laborers,2,0
5028875,M,N,N,3,126000,Working,Secondary / secondary special,Civil marriage,With parents,33,3,1,0,0,1,,5,0
5114508,M,N,N,2,180000,Working,Secondary / secondary special,Married,House / apartment,27,6,1,0,0,1,Laborers,4,0
5140070,F,N,Y,0,450000,Commercial associate,Higher education,Married,House / apartment,45,2,1,0,0,0,,2,0
5033549,M,Y,N,2,157500,Working,Secondary / secondary special,Married,House / apartment,35,5,1,0,0,0,,4,0
5090617,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,House / apartment,41,1,1,0,0,0,Drivers,4,0
5033693,F,Y,Y,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,52,3,1,0,0,0,Laborers,1,0
5062548,F,N,Y,3,247500,Commercial associate,Incomplete higher,Married,House / apartment,33,6,1,0,0,1,,5,0
5115397,M,N,Y,2,180000,Working,Secondary / secondary special,Married,House / apartment,46,8,1,0,0,0,Laborers,4,0
5023928,F,N,Y,0,157500,Commercial associate,Higher education,Married,Rented apartment,32,5,1,0,0,0,Cooking staff,2,0
5126840,F,N,N,0,157500,Commercial associate,Higher education,Single / not married,Rented apartment,32,3,1,0,0,0,,1,0
5106041,M,Y,N,2,270000,Working,Secondary / secondary special,Married,House / apartment,41,8,1,0,0,0,Core staff,4,0
5021208,M,Y,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,37,3,1,0,0,0,Drivers,3,0
5142501,M,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,40,2,1,0,0,0,,2,0
5148651,F,Y,Y,1,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,42,6,1,0,0,0,Laborers,3,0
5024887,F,N,N,1,180000,Working,Secondary / secondary special,Single / not married,House / apartment,27,1,1,0,0,0,Sales staff,2,0
5022952,M,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,50,1,1,1,0,0,,2,0
5008959,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,48,4,1,0,0,0,Laborers,2,0
5146086,M,N,N,0,148500,Working,Secondary / secondary special,Single / not married,Municipal apartment,38,3,1,0,0,1,Laborers,1,0
5062585,M,N,N,1,180000,Working,Secondary / secondary special,Married,House / apartment,27,1,1,1,1,1,Drivers,3,0
5143487,M,N,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,32,3,1,0,0,0,Drivers,3,0
5025188,M,Y,Y,0,157500,Working,Secondary / secondary special,Single / not married,Municipal apartment,39,6,1,0,0,0,Drivers,1,0
5035739,F,Y,Y,0,103500,State servant,Higher education,Separated,House / apartment,46,22,1,1,1,0,Core staff,1,0
5023623,F,N,N,2,180000,Commercial associate,Incomplete higher,Married,House / apartment,37,8,1,0,1,0,Sales staff,4,0
5022797,F,Y,Y,0,202500,Working,Higher education,Widow,House / apartment,32,4,1,0,0,0,Managers,1,0
5097051,F,Y,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,36,2,1,1,0,0,Core staff,2,0
5068682,M,N,Y,0,148500,Working,Secondary / secondary special,Single / not married,House / apartment,32,2,1,0,0,0,Laborers,1,0
5023988,M,N,Y,0,360000,Commercial associate,Higher education,Married,House / apartment,57,7,1,0,0,0,Laborers,2,0
5091957,F,N,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,42,1,1,0,0,0,Laborers,2,0
5079007,M,N,Y,0,202500,Commercial associate,Higher education,Married,Municipal apartment,57,2,1,0,0,0,,2,0
5089557,F,Y,N,0,157500,Working,Incomplete higher,Single / not married,House / apartment,31,8,1,1,0,0,Managers,1,0
5010868,M,Y,Y,1,450000,Pensioner,Secondary / secondary special,Married,House / apartment,49,1,1,0,1,1,Core staff,3,1
5089235,F,N,N,0,270000,State servant,Secondary / secondary special,Separated,House / apartment,53,33,1,0,1,1,Medicine staff,1,0
5065675,F,N,N,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,31,12,1,0,0,0,,1,0
5105967,F,Y,N,1,225000,Commercial associate,Higher education,Civil marriage,With parents,27,1,1,0,1,1,Accountants,3,0
5126370,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,37,5,1,1,0,0,High skill tech staff,2,0
5100214,M,Y,Y,0,121500,Commercial associate,Higher education,Married,House / apartment,39,5,1,0,0,0,Drivers,2,0
5090632,F,Y,Y,0,292500,Commercial associate,Incomplete higher,Married,House / apartment,33,5,1,0,0,1,Sales staff,2,0
5089658,F,N,N,0,99000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,44,1,1,1,0,0,Core staff,1,0
5028945,M,N,Y,0,189000,Commercial associate,Secondary / secondary special,Married,House / apartment,41,16,1,0,0,0,,2,0
5021681,M,N,Y,0,202500,Commercial associate,Secondary / secondary special,Separated,House / apartment,51,10,1,0,0,0,Cleaning staff,1,0
5053383,M,Y,Y,2,247500,Working,Incomplete higher,Married,House / apartment,35,2,1,0,0,0,Drivers,4,0
5033853,F,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,48,0,1,0,0,0,High skill tech staff,2,0
5116039,F,Y,Y,0,225000,Commercial associate,Higher education,Married,House / apartment,44,0,1,0,1,0,High skill tech staff,2,0
5149162,M,Y,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,29,9,1,1,0,0,Laborers,2,0
5132777,M,N,Y,2,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,33,0,1,1,1,0,Laborers,4,0
5117695,F,N,N,0,265500,State servant,Secondary / secondary special,Separated,House / apartment,62,11,1,0,0,0,,1,0
5092031,F,N,Y,2,360000,Working,Secondary / secondary special,Separated,House / apartment,40,13,1,0,0,0,Medicine staff,3,0
5037116,M,Y,N,2,270000,Commercial associate,Higher education,Married,House / apartment,34,9,1,0,1,0,Core staff,4,0
5117417,F,Y,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,44,9,1,0,0,0,Sales staff,2,0
5023705,F,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,48,15,1,0,1,0,Laborers,2,0
5045588,F,Y,Y,0,153000,Working,Secondary / secondary special,Married,House / apartment,40,0,1,0,0,0,,2,0
5029512,F,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,49,2,1,0,0,0,,2,0
5050735,F,N,N,0,135000,Commercial associate,Higher education,Separated,House / apartment,32,13,1,0,1,1,HR staff,1,0
5096397,F,N,N,0,112500,Working,Secondary / secondary special,Civil marriage,Municipal apartment,38,3,1,1,0,0,Core staff,2,0
5022955,M,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,50,1,1,1,0,0,,2,0
5137173,F,N,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,55,10,1,1,1,0,Sales staff,2,0
5099747,F,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,27,8,1,1,1,0,Laborers,3,0
5118125,M,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,30,6,1,0,0,0,,2,0
5126259,F,N,N,2,72000,Commercial associate,Secondary / secondary special,Married,House / apartment,33,6,1,1,0,0,Sales staff,4,0
5010243,M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,55,2,1,0,0,0,Laborers,2,0
5099977,F,N,N,0,180000,Working,Secondary / secondary special,Civil marriage,House / apartment,27,4,1,0,1,0,Security staff,2,0
5023642,M,Y,N,2,225000,Working,Secondary / secondary special,Married,House / apartment,40,6,1,0,0,0,Drivers,4,1
5028385,M,Y,N,0,337500,Working,Secondary / secondary special,Single / not married,With parents,31,9,1,0,0,0,Core staff,1,0
5029151,F,N,N,0,90000,Working,Secondary / secondary special,Married,House / apartment,48,23,1,1,1,0,Laborers,2,0
5010599,F,N,Y,2,90000,Working,Higher education,Married,House / apartment,32,12,1,0,0,0,Drivers,4,0
5149697,F,N,N,0,157500,Working,Incomplete higher,Married,With parents,38,17,1,0,0,0,Core staff,2,0
5135783,F,N,Y,0,126000,Working,Secondary / secondary special,Married,House / apartment,65,5,1,0,1,0,Accountants,2,0
5045539,M,Y,N,2,225000,State servant,Higher education,Married,With parents,29,4,1,0,0,0,High skill tech staff,4,0
5042016,M,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,28,0,1,0,1,0,Drivers,2,0
5029789,F,N,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,58,2,1,0,0,0,Medicine staff,2,0
5046003,F,N,Y,1,225000,Working,Secondary / secondary special,Single / not married,House / apartment,41,9,1,0,1,0,Private service staff,2,0
5125487,M,Y,N,1,135000,Working,Higher education,Married,House / apartment,34,2,1,0,0,0,Laborers,3,0
5066888,M,Y,Y,2,85500,Working,Secondary / secondary special,Married,House / apartment,39,8,1,0,0,0,,4,0
5061531,F,N,Y,1,202500,Working,Secondary / secondary special,Married,House / apartment,38,12,1,0,0,0,,3,0
5021522,F,N,N,0,202500,Working,Higher education,Married,House / apartment,52,13,1,0,0,1,Core staff,2,0
5054041,F,N,N,1,81000,Working,Secondary / secondary special,Married,House / apartment,39,3,1,0,1,0,Cooking staff,3,0
5096185,F,N,N,0,153000,Working,Secondary / secondary special,Married,House / apartment,40,7,1,1,0,0,Security staff,2,0
5044621,F,Y,N,1,135000,Commercial associate,Higher education,Single / not married,House / apartment,27,4,1,0,0,0,Accountants,2,0
5137533,M,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,40,9,1,1,0,0,Drivers,2,0
5089753,M,N,N,1,99000,Working,Secondary / secondary special,Single / not married,House / apartment,48,14,1,0,0,0,Laborers,2,0
5090707,F,Y,Y,0,270000,Working,Higher education,Single / not married,House / apartment,33,0,1,0,0,1,Accountants,1,0
5091369,M,Y,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,42,3,1,1,1,0,Drivers,2,0
5149450,M,Y,Y,0,238500,Working,Higher education,Married,With parents,33,7,1,0,0,0,Laborers,2,0
5062697,F,N,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,39,10,1,0,0,0,Core staff,3,0
5091244,F,Y,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,44,4,1,0,0,0,Medicine staff,2,0
5024692,M,N,Y,0,135000,Working,Secondary / secondary special,Married,With parents,42,21,1,0,1,0,Laborers,2,0
5029665,F,N,N,0,67500,Working,Secondary / secondary special,Married,House / apartment,50,5,1,0,0,0,Laborers,2,0
5036408,F,Y,Y,0,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,37,3,1,0,0,0,Cooking staff,2,0
5089005,F,Y,N,0,99000,Working,Secondary / secondary special,Married,House / apartment,53,7,1,0,1,0,,2,0
5050766,F,N,N,2,337500,Working,Secondary / secondary special,Married,House / apartment,30,5,1,0,0,0,Core staff,4,0
5099764,F,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,27,8,1,1,1,0,Laborers,3,0
5126286,M,N,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,57,32,1,1,0,0,Laborers,2,0
5116382,F,N,Y,1,120150,Working,Higher education,Married,House / apartment,25,3,1,1,0,0,Core staff,3,0
5045724,M,N,N,1,216000,Commercial associate,Higher education,Separated,House / apartment,29,3,1,0,0,0,Laborers,2,0
5067803,F,N,Y,0,135000,Commercial associate,Higher education,Single / not married,House / apartment,53,0,1,0,1,0,,1,0
5149336,F,Y,Y,0,292500,Commercial associate,Higher education,Single / not married,House / apartment,46,24,1,0,0,0,High skill tech staff,1,0
5021873,M,Y,N,0,171000,Working,Secondary / secondary special,Single / not married,Rented apartment,26,0,1,0,0,0,Laborers,1,0
5143378,M,Y,Y,0,103500,Working,Secondary / secondary special,Married,House / apartment,50,3,1,0,0,0,,2,0
5025141,F,N,Y,1,270000,Working,Higher education,Single / not married,House / apartment,37,3,1,0,1,0,Laborers,2,0
5069031,F,N,Y,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,45,3,1,0,0,1,Sales staff,2,0
5045903,F,N,N,0,90000,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,23,1,1,0,0,0,High skill tech staff,1,0
5009716,M,N,N,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,25,4,1,1,1,0,,1,0
5009281,F,N,N,0,130500,Working,Secondary / secondary special,Civil marriage,House / apartment,41,13,1,0,1,0,Cleaning staff,2,0
5126385,M,Y,N,0,180000,Working,Higher education,Married,House / apartment,28,8,1,1,0,1,Managers,2,0
5095226,M,Y,Y,2,180000,Working,Secondary / secondary special,Married,House / apartment,43,3,1,0,0,0,Drivers,4,0
5009709,F,N,N,0,157500,Working,Higher education,Married,House / apartment,31,0,1,0,0,0,Managers,2,0
5100153,F,Y,N,0,144000,Working,Secondary / secondary special,Widow,House / apartment,39,3,1,0,0,0,HR staff,1,0
5009481,F,N,N,0,180000,Commercial associate,Higher education,Married,House / apartment,36,12,1,0,1,0,,2,0
5022292,F,N,N,1,157500,Working,Secondary / secondary special,Civil marriage,House / apartment,41,9,1,0,0,0,Cooking staff,3,0
5132580,F,N,Y,0,121500,Working,Secondary / secondary special,Widow,House / apartment,47,6,1,1,1,0,,1,0
5067868,F,N,Y,0,144000,Working,Secondary / secondary special,Married,House / apartment,51,14,1,0,0,0,Medicine staff,2,0
5046043,F,N,Y,0,139500,State servant,Higher education,Married,House / apartment,48,23,1,0,0,0,Managers,2,0
5114215,M,Y,N,2,225000,Working,Secondary / secondary special,Married,House / apartment,38,7,1,1,0,0,Managers,4,0
5142113,M,Y,Y,1,225000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,40,14,1,1,0,0,Laborers,2,0
5089142,F,Y,N,0,202500,Commercial associate,Secondary / secondary special,Civil marriage,With parents,38,14,1,0,1,0,,2,0
5068774,F,N,N,0,135000,Working,Incomplete higher,Married,House / apartment,44,5,1,0,0,0,Core staff,2,0
5028661,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,48,10,1,0,0,0,,2,0
5090231,M,Y,N,0,225000,Working,Higher education,Married,House / apartment,32,2,1,0,1,0,,2,0
5053855,M,Y,Y,2,121500,Working,Secondary / secondary special,Married,House / apartment,30,1,1,0,0,0,Laborers,4,0
5142639,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,49,8,1,1,1,0,Core staff,2,0
5042074,F,Y,N,2,270000,State servant,Higher education,Married,House / apartment,43,20,1,1,1,0,,4,0
5067584,M,Y,Y,0,247500,Commercial associate,Secondary / secondary special,Married,House / apartment,48,1,1,1,0,0,Drivers,2,0
5029078,F,N,Y,1,135000,Working,Incomplete higher,Separated,House / apartment,27,1,1,0,0,0,Sales staff,2,0
5029759,F,N,Y,0,225000,Working,Higher education,Married,House / apartment,54,9,1,0,0,0,Managers,2,0
5125563,M,Y,N,0,148500,State servant,Secondary / secondary special,Married,House / apartment,28,8,1,1,0,0,,2,0
5091245,F,Y,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,44,4,1,0,0,0,Medicine staff,2,0
5033866,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,47,1,1,0,0,0,Laborers,2,0
5062241,F,Y,N,0,315000,Working,Secondary / secondary special,Married,House / apartment,53,11,1,0,0,0,Managers,2,0
5022074,F,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,53,3,1,1,0,0,Sales staff,2,0
5061800,F,N,Y,0,225000,Commercial associate,Secondary / secondary special,Widow,House / apartment,57,2,1,0,0,0,Cleaning staff,1,0
5050679,M,Y,N,0,132372,Commercial associate,Secondary / secondary special,Married,With parents,23,1,1,1,0,1,Sales staff,2,0
5137106,F,Y,N,0,360000,State servant,Secondary / secondary special,Married,House / apartment,50,0,1,1,1,0,Medicine staff,2,0
5024686,M,N,Y,0,135000,Working,Secondary / secondary special,Married,With parents,42,21,1,0,1,0,Laborers,2,0
5028305,M,Y,Y,0,360000,Commercial associate,Incomplete higher,Married,House / apartment,54,1,1,0,0,0,Managers,2,0
5037223,M,Y,N,1,270000,Working,Secondary / secondary special,Married,Municipal apartment,26,2,1,1,1,0,Laborers,3,0
5028784,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,43,8,1,0,0,0,,2,0
5097166,F,N,Y,0,180000,Working,Secondary / secondary special,Civil marriage,With parents,40,3,1,0,0,0,Sales staff,2,0
5145949,F,N,Y,1,337500,Commercial associate,Higher education,Single / not married,House / apartment,39,1,1,0,0,0,Accountants,2,0
5143243,F,N,N,0,135000,State servant,Higher education,Separated,With parents,53,5,1,1,0,0,IT staff,1,0
5118591,F,N,Y,0,225000,State servant,Secondary / secondary special,Married,House / apartment,44,23,1,0,1,0,,2,0
5142467,M,N,Y,1,117000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,46,14,1,0,0,0,Laborers,3,0
5088953,F,N,N,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,50,4,1,0,0,0,Managers,2,0
5010801,F,N,Y,0,270000,Working,Secondary / secondary special,Married,Municipal apartment,42,2,1,0,0,1,Security staff,2,0
5054247,M,Y,N,2,157500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,47,11,1,1,1,0,Sales staff,4,0
5050951,F,N,N,0,135000,Commercial associate,Higher education,Married,House / apartment,33,11,1,1,1,1,Core staff,2,0
5087501,F,Y,Y,0,157500,Commercial associate,Higher education,Civil marriage,House / apartment,41,2,1,1,1,0,Managers,2,0
5050716,M,Y,N,0,157500,Commercial associate,Higher education,Married,House / apartment,26,2,1,0,0,0,Laborers,2,0
5068014,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,42,9,1,0,0,0,Laborers,2,0
5066928,M,N,Y,0,391500,Working,Secondary / secondary special,Separated,House / apartment,47,4,1,0,0,0,Security staff,1,0
5100082,F,Y,Y,0,225000,Working,Higher education,Civil marriage,House / apartment,52,1,1,0,1,0,,2,0
5126724,F,N,Y,2,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,37,6,1,0,0,0,Sales staff,4,0
5125156,M,N,Y,1,234000,Working,Secondary / secondary special,Married,House / apartment,32,4,1,0,0,0,Laborers,3,0
5068745,F,N,Y,3,225000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,32,13,1,0,0,0,Laborers,4,0
5028431,M,N,N,0,225000,State servant,Secondary / secondary special,Single / not married,House / apartment,22,1,1,0,0,0,Core staff,1,0
5143571,F,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,34,5,1,0,0,0,Core staff,3,0
5068878,F,N,N,1,112500,Working,Secondary / secondary special,Married,With parents,31,10,1,0,1,1,Core staff,3,0
5021510,F,N,Y,0,144000,State servant,Secondary / secondary special,Married,House / apartment,49,27,1,0,1,0,High skill tech staff,2,0
5067547,F,N,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,57,7,1,0,0,0,,2,0
5036704,F,Y,Y,0,157500,Working,Secondary / secondary special,Civil marriage,House / apartment,32,0,1,0,0,0,Accountants,2,0
5054473,F,Y,Y,1,225000,Working,Secondary / secondary special,Civil marriage,House / apartment,34,2,1,1,1,0,Private service staff,3,0
5047970,F,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,33,1,1,1,1,0,Laborers,2,0
5137398,M,N,N,1,180000,Commercial associate,Lower secondary,Married,House / apartment,29,6,1,1,0,0,Laborers,3,0
5051079,F,N,N,0,270000,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,46,3,1,1,1,0,Sales staff,1,0
5135779,F,N,Y,0,126000,Working,Secondary / secondary special,Married,House / apartment,65,5,1,0,1,0,Accountants,2,0
5023745,F,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,51,2,1,1,1,0,Core staff,2,0
5021220,M,Y,N,0,310500,Working,Higher education,Single / not married,House / apartment,27,1,1,0,0,0,Laborers,1,0
5089499,M,Y,N,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,24,0,1,1,1,0,Drivers,1,0
